;;;weiblich;männlich;
1999;Mundhöhle und Rachen (C00-C14);0 - 4;1;0;
1999;Mundhöhle und Rachen (C00-C14);5 - 9;2;0;
1999;Mundhöhle und Rachen (C00-C14);10 - 14;2;3;
1999;Mundhöhle und Rachen (C00-C14);15 - 19;20;13;
1999;Mundhöhle und Rachen (C00-C14);20 - 24;12;12;
1999;Mundhöhle und Rachen (C00-C14);25 - 29;3;12;
1999;Mundhöhle und Rachen (C00-C14);30 - 34;10;40;
1999;Mundhöhle und Rachen (C00-C14);35 - 39;58;190;
1999;Mundhöhle und Rachen (C00-C14);40 - 44;123;454;
1999;Mundhöhle und Rachen (C00-C14);45 - 49;202;848;
1999;Mundhöhle und Rachen (C00-C14);50 - 54;412;1.218;
1999;Mundhöhle und Rachen (C00-C14);55 - 59;343;1.678;
1999;Mundhöhle und Rachen (C00-C14);60 - 64;414;1.511;
1999;Mundhöhle und Rachen (C00-C14);65 - 69;294;906;
1999;Mundhöhle und Rachen (C00-C14);70 - 74;257;573;
1999;Mundhöhle und Rachen (C00-C14);75 - 79;275;381;
1999;Mundhöhle und Rachen (C00-C14);80 - 84;169;178;
1999;Mundhöhle und Rachen (C00-C14);85+;267;127;
1999;Speiseröhre (C15);0 - 4;0;0;
1999;Speiseröhre (C15);5 - 9;0;0;
1999;Speiseröhre (C15);10 - 14;0;0;
1999;Speiseröhre (C15);15 - 19;0;0;
1999;Speiseröhre (C15);20 - 24;0;0;
1999;Speiseröhre (C15);25 - 29;1;1;
1999;Speiseröhre (C15);30 - 34;1;4;
1999;Speiseröhre (C15);35 - 39;6;40;
1999;Speiseröhre (C15);40 - 44;15;101;
1999;Speiseröhre (C15);45 - 49;42;246;
1999;Speiseröhre (C15);50 - 54;61;422;
1999;Speiseröhre (C15);55 - 59;95;623;
1999;Speiseröhre (C15);60 - 64;148;826;
1999;Speiseröhre (C15);65 - 69;109;549;
1999;Speiseröhre (C15);70 - 74;171;506;
1999;Speiseröhre (C15);75 - 79;161;373;
1999;Speiseröhre (C15);80 - 84;102;97;
1999;Speiseröhre (C15);85+;170;169;
1999;Magen (C16);0 - 4;0;0;
1999;Magen (C16);5 - 9;0;0;
1999;Magen (C16);10 - 14;0;0;
1999;Magen (C16);15 - 19;0;1;
1999;Magen (C16);20 - 24;6;2;
1999;Magen (C16);25 - 29;10;11;
1999;Magen (C16);30 - 34;37;45;
1999;Magen (C16);35 - 39;112;113;
1999;Magen (C16);40 - 44;134;170;
1999;Magen (C16);45 - 49;202;296;
1999;Magen (C16);50 - 54;339;556;
1999;Magen (C16);55 - 59;444;884;
1999;Magen (C16);60 - 64;556;1.300;
1999;Magen (C16);65 - 69;786;1.473;
1999;Magen (C16);70 - 74;1.005;1.834;
1999;Magen (C16);75 - 79;1.537;1.392;
1999;Magen (C16);80 - 84;945;812;
1999;Magen (C16);85+;2.092;1.025;
1999;Dünndarm (C17);0 - 4;0;0;
1999;Dünndarm (C17);5 - 9;0;0;
1999;Dünndarm (C17);10 - 14;0;0;
1999;Dünndarm (C17);15 - 19;1;0;
1999;Dünndarm (C17);20 - 24;2;6;
1999;Dünndarm (C17);25 - 29;0;1;
1999;Dünndarm (C17);30 - 34;10;7;
1999;Dünndarm (C17);35 - 39;4;8;
1999;Dünndarm (C17);40 - 44;13;29;
1999;Dünndarm (C17);45 - 49;23;40;
1999;Dünndarm (C17);50 - 54;21;84;
1999;Dünndarm (C17);55 - 59;60;61;
1999;Dünndarm (C17);60 - 64;35;98;
1999;Dünndarm (C17);65 - 69;65;69;
1999;Dünndarm (C17);70 - 74;67;63;
1999;Dünndarm (C17);75 - 79;71;76;
1999;Dünndarm (C17);80 - 84;43;32;
1999;Dünndarm (C17);85+;66;8;
1999;Darm (C18-C21);0 - 4;0;0;
1999;Darm (C18-C21);5 - 9;0;0;
1999;Darm (C18-C21);10 - 14;0;0;
1999;Darm (C18-C21);15 - 19;9;1;
1999;Darm (C18-C21);20 - 24;10;25;
1999;Darm (C18-C21);25 - 29;46;14;
1999;Darm (C18-C21);30 - 34;90;92;
1999;Darm (C18-C21);35 - 39;203;233;
1999;Darm (C18-C21);40 - 44;331;327;
1999;Darm (C18-C21);45 - 49;653;763;
1999;Darm (C18-C21);50 - 54;1.045;1.310;
1999;Darm (C18-C21);55 - 59;1.929;3.361;
1999;Darm (C18-C21);60 - 64;2.561;4.467;
1999;Darm (C18-C21);65 - 69;3.089;4.841;
1999;Darm (C18-C21);70 - 74;4.677;4.929;
1999;Darm (C18-C21);75 - 79;5.751;4.172;
1999;Darm (C18-C21);80 - 84;3.579;1.982;
1999;Darm (C18-C21);85+;5.651;2.210;
1999;Leber (C22);0 - 4;1;5;
1999;Leber (C22);5 - 9;0;1;
1999;Leber (C22);10 - 14;1;2;
1999;Leber (C22);15 - 19;0;0;
1999;Leber (C22);20 - 24;0;7;
1999;Leber (C22);25 - 29;3;1;
1999;Leber (C22);30 - 34;6;5;
1999;Leber (C22);35 - 39;20;31;
1999;Leber (C22);40 - 44;31;81;
1999;Leber (C22);45 - 49;42;91;
1999;Leber (C22);50 - 54;85;263;
1999;Leber (C22);55 - 59;91;433;
1999;Leber (C22);60 - 64;194;596;
1999;Leber (C22);65 - 69;255;707;
1999;Leber (C22);70 - 74;481;674;
1999;Leber (C22);75 - 79;377;552;
1999;Leber (C22);80 - 84;213;174;
1999;Leber (C22);85+;399;234;
1999;Gallenblase und Gallenwege (C23-C24);0 - 4;0;0;
1999;Gallenblase und Gallenwege (C23-C24);5 - 9;0;0;
1999;Gallenblase und Gallenwege (C23-C24);10 - 14;0;0;
1999;Gallenblase und Gallenwege (C23-C24);15 - 19;0;0;
1999;Gallenblase und Gallenwege (C23-C24);20 - 24;0;0;
1999;Gallenblase und Gallenwege (C23-C24);25 - 29;0;0;
1999;Gallenblase und Gallenwege (C23-C24);30 - 34;9;1;
1999;Gallenblase und Gallenwege (C23-C24);35 - 39;10;17;
1999;Gallenblase und Gallenwege (C23-C24);40 - 44;16;35;
1999;Gallenblase und Gallenwege (C23-C24);45 - 49;57;55;
1999;Gallenblase und Gallenwege (C23-C24);50 - 54;85;97;
1999;Gallenblase und Gallenwege (C23-C24);55 - 59;210;167;
1999;Gallenblase und Gallenwege (C23-C24);60 - 64;366;226;
1999;Gallenblase und Gallenwege (C23-C24);65 - 69;397;338;
1999;Gallenblase und Gallenwege (C23-C24);70 - 74;653;329;
1999;Gallenblase und Gallenwege (C23-C24);75 - 79;784;298;
1999;Gallenblase und Gallenwege (C23-C24);80 - 84;587;236;
1999;Gallenblase und Gallenwege (C23-C24);85+;985;165;
1999;Bauchspeicheldrüse (C25);0 - 4;0;0;
1999;Bauchspeicheldrüse (C25);5 - 9;0;0;
1999;Bauchspeicheldrüse (C25);10 - 14;0;0;
1999;Bauchspeicheldrüse (C25);15 - 19;0;1;
1999;Bauchspeicheldrüse (C25);20 - 24;0;0;
1999;Bauchspeicheldrüse (C25);25 - 29;1;2;
1999;Bauchspeicheldrüse (C25);30 - 34;18;15;
1999;Bauchspeicheldrüse (C25);35 - 39;31;39;
1999;Bauchspeicheldrüse (C25);40 - 44;91;118;
1999;Bauchspeicheldrüse (C25);45 - 49;106;215;
1999;Bauchspeicheldrüse (C25);50 - 54;188;345;
1999;Bauchspeicheldrüse (C25);55 - 59;301;711;
1999;Bauchspeicheldrüse (C25);60 - 64;683;1.075;
1999;Bauchspeicheldrüse (C25);65 - 69;589;875;
1999;Bauchspeicheldrüse (C25);70 - 74;1.111;1.031;
1999;Bauchspeicheldrüse (C25);75 - 79;1.239;864;
1999;Bauchspeicheldrüse (C25);80 - 84;732;359;
1999;Bauchspeicheldrüse (C25);85+;1.181;464;
1999;sonstg./n.n.bez. Verdauungsorgane (C26);0 - 4;0;0;
1999;sonstg./n.n.bez. Verdauungsorgane (C26);5 - 9;0;0;
1999;sonstg./n.n.bez. Verdauungsorgane (C26);10 - 14;0;0;
1999;sonstg./n.n.bez. Verdauungsorgane (C26);15 - 19;0;0;
1999;sonstg./n.n.bez. Verdauungsorgane (C26);20 - 24;0;0;
1999;sonstg./n.n.bez. Verdauungsorgane (C26);25 - 29;0;1;
1999;sonstg./n.n.bez. Verdauungsorgane (C26);30 - 34;0;6;
1999;sonstg./n.n.bez. Verdauungsorgane (C26);35 - 39;0;0;
1999;sonstg./n.n.bez. Verdauungsorgane (C26);40 - 44;7;0;
1999;sonstg./n.n.bez. Verdauungsorgane (C26);45 - 49;7;4;
1999;sonstg./n.n.bez. Verdauungsorgane (C26);50 - 54;0;4;
1999;sonstg./n.n.bez. Verdauungsorgane (C26);55 - 59;13;37;
1999;sonstg./n.n.bez. Verdauungsorgane (C26);60 - 64;4;23;
1999;sonstg./n.n.bez. Verdauungsorgane (C26);65 - 69;23;45;
1999;sonstg./n.n.bez. Verdauungsorgane (C26);70 - 74;53;74;
1999;sonstg./n.n.bez. Verdauungsorgane (C26);75 - 79;53;48;
1999;sonstg./n.n.bez. Verdauungsorgane (C26);80 - 84;70;43;
1999;sonstg./n.n.bez. Verdauungsorgane (C26);85+;275;35;
1999;Nasenhöhle und Mittelohr (C30);0 - 4;0;0;
1999;Nasenhöhle und Mittelohr (C30);5 - 9;0;0;
1999;Nasenhöhle und Mittelohr (C30);10 - 14;0;0;
1999;Nasenhöhle und Mittelohr (C30);15 - 19;0;0;
1999;Nasenhöhle und Mittelohr (C30);20 - 24;1;0;
1999;Nasenhöhle und Mittelohr (C30);25 - 29;1;2;
1999;Nasenhöhle und Mittelohr (C30);30 - 34;1;1;
1999;Nasenhöhle und Mittelohr (C30);35 - 39;0;8;
1999;Nasenhöhle und Mittelohr (C30);40 - 44;7;8;
1999;Nasenhöhle und Mittelohr (C30);45 - 49;1;2;
1999;Nasenhöhle und Mittelohr (C30);50 - 54;3;12;
1999;Nasenhöhle und Mittelohr (C30);55 - 59;8;14;
1999;Nasenhöhle und Mittelohr (C30);60 - 64;15;19;
1999;Nasenhöhle und Mittelohr (C30);65 - 69;2;17;
1999;Nasenhöhle und Mittelohr (C30);70 - 74;26;19;
1999;Nasenhöhle und Mittelohr (C30);75 - 79;2;26;
1999;Nasenhöhle und Mittelohr (C30);80 - 84;14;0;
1999;Nasenhöhle und Mittelohr (C30);85+;29;9;
1999;Nasennebenhöhle (C31);0 - 4;1;0;
1999;Nasennebenhöhle (C31);5 - 9;0;0;
1999;Nasennebenhöhle (C31);10 - 14;0;1;
1999;Nasennebenhöhle (C31);15 - 19;0;6;
1999;Nasennebenhöhle (C31);20 - 24;0;0;
1999;Nasennebenhöhle (C31);25 - 29;0;0;
1999;Nasennebenhöhle (C31);30 - 34;0;7;
1999;Nasennebenhöhle (C31);35 - 39;1;7;
1999;Nasennebenhöhle (C31);40 - 44;2;1;
1999;Nasennebenhöhle (C31);45 - 49;8;22;
1999;Nasennebenhöhle (C31);50 - 54;16;10;
1999;Nasennebenhöhle (C31);55 - 59;17;29;
1999;Nasennebenhöhle (C31);60 - 64;5;45;
1999;Nasennebenhöhle (C31);65 - 69;14;23;
1999;Nasennebenhöhle (C31);70 - 74;9;44;
1999;Nasennebenhöhle (C31);75 - 79;34;30;
1999;Nasennebenhöhle (C31);80 - 84;8;11;
1999;Nasennebenhöhle (C31);85+;15;15;
1999;Kehlkopf (C32);0 - 4;0;0;
1999;Kehlkopf (C32);5 - 9;0;0;
1999;Kehlkopf (C32);10 - 14;0;0;
1999;Kehlkopf (C32);15 - 19;0;1;
1999;Kehlkopf (C32);20 - 24;0;0;
1999;Kehlkopf (C32);25 - 29;0;1;
1999;Kehlkopf (C32);30 - 34;0;1;
1999;Kehlkopf (C32);35 - 39;4;12;
1999;Kehlkopf (C32);40 - 44;24;98;
1999;Kehlkopf (C32);45 - 49;49;249;
1999;Kehlkopf (C32);50 - 54;67;370;
1999;Kehlkopf (C32);55 - 59;84;622;
1999;Kehlkopf (C32);60 - 64;44;722;
1999;Kehlkopf (C32);65 - 69;60;497;
1999;Kehlkopf (C32);70 - 74;105;419;
1999;Kehlkopf (C32);75 - 79;59;292;
1999;Kehlkopf (C32);80 - 84;41;105;
1999;Kehlkopf (C32);85+;17;101;
1999;Lunge (C33-C34);0 - 4;0;1;
1999;Lunge (C33-C34);5 - 9;0;0;
1999;Lunge (C33-C34);10 - 14;0;1;
1999;Lunge (C33-C34);15 - 19;4;0;
1999;Lunge (C33-C34);20 - 24;2;0;
1999;Lunge (C33-C34);25 - 29;7;2;
1999;Lunge (C33-C34);30 - 34;31;51;
1999;Lunge (C33-C34);35 - 39;99;169;
1999;Lunge (C33-C34);40 - 44;352;490;
1999;Lunge (C33-C34);45 - 49;440;1.113;
1999;Lunge (C33-C34);50 - 54;750;1.851;
1999;Lunge (C33-C34);55 - 59;1.132;3.889;
1999;Lunge (C33-C34);60 - 64;1.365;5.600;
1999;Lunge (C33-C34);65 - 69;1.530;6.467;
1999;Lunge (C33-C34);70 - 74;1.678;6.265;
1999;Lunge (C33-C34);75 - 79;1.662;4.073;
1999;Lunge (C33-C34);80 - 84;876;1.582;
1999;Lunge (C33-C34);85+;982;1.518;
1999;Thymus (C37);0 - 4;0;0;
1999;Thymus (C37);5 - 9;0;0;
1999;Thymus (C37);10 - 14;0;1;
1999;Thymus (C37);15 - 19;0;0;
1999;Thymus (C37);20 - 24;0;0;
1999;Thymus (C37);25 - 29;0;0;
1999;Thymus (C37);30 - 34;6;1;
1999;Thymus (C37);35 - 39;7;8;
1999;Thymus (C37);40 - 44;3;1;
1999;Thymus (C37);45 - 49;8;2;
1999;Thymus (C37);50 - 54;2;9;
1999;Thymus (C37);55 - 59;2;14;
1999;Thymus (C37);60 - 64;3;9;
1999;Thymus (C37);65 - 69;2;19;
1999;Thymus (C37);70 - 74;7;15;
1999;Thymus (C37);75 - 79;9;8;
1999;Thymus (C37);80 - 84;4;0;
1999;Thymus (C37);85+;0;7;
1999;Herz, Mediastinum u. Pleura (C38);0 - 4;2;1;
1999;Herz, Mediastinum u. Pleura (C38);5 - 9;0;1;
1999;Herz, Mediastinum u. Pleura (C38);10 - 14;0;1;
1999;Herz, Mediastinum u. Pleura (C38);15 - 19;1;0;
1999;Herz, Mediastinum u. Pleura (C38);20 - 24;0;0;
1999;Herz, Mediastinum u. Pleura (C38);25 - 29;1;1;
1999;Herz, Mediastinum u. Pleura (C38);30 - 34;0;0;
1999;Herz, Mediastinum u. Pleura (C38);35 - 39;1;10;
1999;Herz, Mediastinum u. Pleura (C38);40 - 44;1;13;
1999;Herz, Mediastinum u. Pleura (C38);45 - 49;14;3;
1999;Herz, Mediastinum u. Pleura (C38);50 - 54;8;11;
1999;Herz, Mediastinum u. Pleura (C38);55 - 59;4;24;
1999;Herz, Mediastinum u. Pleura (C38);60 - 64;8;29;
1999;Herz, Mediastinum u. Pleura (C38);65 - 69;17;17;
1999;Herz, Mediastinum u. Pleura (C38);70 - 74;29;45;
1999;Herz, Mediastinum u. Pleura (C38);75 - 79;11;15;
1999;Herz, Mediastinum u. Pleura (C38);80 - 84;6;21;
1999;Herz, Mediastinum u. Pleura (C38);85+;31;29;
1999;sonstg. Brustorgane (C39);0 - 4;0;0;
1999;sonstg. Brustorgane (C39);5 - 9;0;0;
1999;sonstg. Brustorgane (C39);10 - 14;0;0;
1999;sonstg. Brustorgane (C39);15 - 19;0;0;
1999;sonstg. Brustorgane (C39);20 - 24;0;0;
1999;sonstg. Brustorgane (C39);25 - 29;0;0;
1999;sonstg. Brustorgane (C39);30 - 34;0;0;
1999;sonstg. Brustorgane (C39);35 - 39;0;0;
1999;sonstg. Brustorgane (C39);40 - 44;0;0;
1999;sonstg. Brustorgane (C39);45 - 49;7;0;
1999;sonstg. Brustorgane (C39);50 - 54;0;0;
1999;sonstg. Brustorgane (C39);55 - 59;10;1;
1999;sonstg. Brustorgane (C39);60 - 64;0;2;
1999;sonstg. Brustorgane (C39);65 - 69;0;1;
1999;sonstg. Brustorgane (C39);70 - 74;1;0;
1999;sonstg. Brustorgane (C39);75 - 79;0;11;
1999;sonstg. Brustorgane (C39);80 - 84;0;7;
1999;sonstg. Brustorgane (C39);85+;3;1;
1999;Knochen u. Gelenkknorpel (C40-C41);0 - 4;4;1;
1999;Knochen u. Gelenkknorpel (C40-C41);5 - 9;9;12;
1999;Knochen u. Gelenkknorpel (C40-C41);10 - 14;21;25;
1999;Knochen u. Gelenkknorpel (C40-C41);15 - 19;44;35;
1999;Knochen u. Gelenkknorpel (C40-C41);20 - 24;4;34;
1999;Knochen u. Gelenkknorpel (C40-C41);25 - 29;19;24;
1999;Knochen u. Gelenkknorpel (C40-C41);30 - 34;19;22;
1999;Knochen u. Gelenkknorpel (C40-C41);35 - 39;39;16;
1999;Knochen u. Gelenkknorpel (C40-C41);40 - 44;12;26;
1999;Knochen u. Gelenkknorpel (C40-C41);45 - 49;26;8;
1999;Knochen u. Gelenkknorpel (C40-C41);50 - 54;1;34;
1999;Knochen u. Gelenkknorpel (C40-C41);55 - 59;33;40;
1999;Knochen u. Gelenkknorpel (C40-C41);60 - 64;5;28;
1999;Knochen u. Gelenkknorpel (C40-C41);65 - 69;13;48;
1999;Knochen u. Gelenkknorpel (C40-C41);70 - 74;37;16;
1999;Knochen u. Gelenkknorpel (C40-C41);75 - 79;43;22;
1999;Knochen u. Gelenkknorpel (C40-C41);80 - 84;13;13;
1999;Knochen u. Gelenkknorpel (C40-C41);85+;22;1;
1999;Malignes Melanom der Haut (C43);0 - 4;0;1;
1999;Malignes Melanom der Haut (C43);5 - 9;1;0;
1999;Malignes Melanom der Haut (C43);10 - 14;1;0;
1999;Malignes Melanom der Haut (C43);15 - 19;42;34;
1999;Malignes Melanom der Haut (C43);20 - 24;172;48;
1999;Malignes Melanom der Haut (C43);25 - 29;219;122;
1999;Malignes Melanom der Haut (C43);30 - 34;391;314;
1999;Malignes Melanom der Haut (C43);35 - 39;516;245;
1999;Malignes Melanom der Haut (C43);40 - 44;390;416;
1999;Malignes Melanom der Haut (C43);45 - 49;417;395;
1999;Malignes Melanom der Haut (C43);50 - 54;437;426;
1999;Malignes Melanom der Haut (C43);55 - 59;590;802;
1999;Malignes Melanom der Haut (C43);60 - 64;647;858;
1999;Malignes Melanom der Haut (C43);65 - 69;434;639;
1999;Malignes Melanom der Haut (C43);70 - 74;783;575;
1999;Malignes Melanom der Haut (C43);75 - 79;626;434;
1999;Malignes Melanom der Haut (C43);80 - 84;345;124;
1999;Malignes Melanom der Haut (C43);85+;356;187;
1999;Mesotheliom (C45);0 - 4;0;0;
1999;Mesotheliom (C45);5 - 9;1;0;
1999;Mesotheliom (C45);10 - 14;0;1;
1999;Mesotheliom (C45);15 - 19;0;0;
1999;Mesotheliom (C45);20 - 24;12;0;
1999;Mesotheliom (C45);25 - 29;1;7;
1999;Mesotheliom (C45);30 - 34;0;2;
1999;Mesotheliom (C45);35 - 39;2;4;
1999;Mesotheliom (C45);40 - 44;8;7;
1999;Mesotheliom (C45);45 - 49;2;33;
1999;Mesotheliom (C45);50 - 54;6;31;
1999;Mesotheliom (C45);55 - 59;27;125;
1999;Mesotheliom (C45);60 - 64;68;254;
1999;Mesotheliom (C45);65 - 69;40;192;
1999;Mesotheliom (C45);70 - 74;54;229;
1999;Mesotheliom (C45);75 - 79;69;150;
1999;Mesotheliom (C45);80 - 84;36;98;
1999;Mesotheliom (C45);85+;25;64;
1999;Kaposi-Syndrom (C46);0 - 4;0;0;
1999;Kaposi-Syndrom (C46);5 - 9;0;0;
1999;Kaposi-Syndrom (C46);10 - 14;0;0;
1999;Kaposi-Syndrom (C46);15 - 19;0;0;
1999;Kaposi-Syndrom (C46);20 - 24;0;0;
1999;Kaposi-Syndrom (C46);25 - 29;0;2;
1999;Kaposi-Syndrom (C46);30 - 34;0;6;
1999;Kaposi-Syndrom (C46);35 - 39;9;6;
1999;Kaposi-Syndrom (C46);40 - 44;0;1;
1999;Kaposi-Syndrom (C46);45 - 49;0;1;
1999;Kaposi-Syndrom (C46);50 - 54;0;1;
1999;Kaposi-Syndrom (C46);55 - 59;0;1;
